cell,variant,seed,target,budget,ttt_cpu,ttt_it,cpu,iters,best,wall
"K8(9,4)",p5+wide,7,10800,100,3.08,24,3.08,24,10762,3.08
"K6(6,3)",base,4,30,45,0.5961,4143,0.596,4143,30,0.6
"K6(6,3)",p5+fix0,4,30,45,1.1649,17215,1.165,17215,30,1.16
"K8(9,4)",p5,20,10800,100,3.5256,28,3.526,28,10773,3.53
"K8(9,4)",base,8,10800,100,23.725,29,23.725,29,10790,23.73
"K6(6,3)",p5,6,30,45,5.8099,88228,5.81,88228,30,5.81
"K6(6,3)",base,1,30,45,1.5981,11246,1.598,11246,30,1.6
"K6(6,3)",p5b,19,30,45,0.647,9509,0.647,9509,28,0.65
"K6(8,4)",p5+upick,10,20,90,5.5141,3239,5.514,3239,20,5.51
"K6(8,4)",p5+wide,3,20,90,0.6526,380,0.653,380,20,0.65
"K6(6,3)",p5,8,30,45,2.8311,43238,2.831,43238,30,2.83
"K6(6,3)",p5+wide,10,30,45,8.2719,123003,8.272,123003,27,8.27
"K8(9,4)",p5,12,10800,100,4.0072,30,4.007,30,10783,4.01
"K6(6,3)",p5,5,30,45,0.537,7962,0.537,7962,29,0.54
"K6(6,3)",p5+wide,17,30,45,1.6141,24788,1.614,24788,30,1.61
"K6(8,4)",p5+ucache,4,20,90,1.2652,763,1.265,763,20,1.27
"K6(6,3)",p5b+wide,3,30,45,4.407,65215,4.407,65215,30,4.41
"K6(6,3)",base,3,30,45,1.1143,7866,1.114,7866,30,1.11
"K8(9,4)",p5,18,10800,100,4.2138,31,4.214,31,10774,4.21
"K6(8,4)",p5+upick,7,20,90,0.8958,523,0.896,523,20,0.9
"K8(9,4)",p5b+wide,15,10800,100,1.716,23,1.716,23,10795,1.72
"K6(8,4)",p5b+wide,9,20,90,0.4585,311,0.459,311,20,0.46
"K6(8,4)",p5+fix0,17,20,90,1.2682,735,1.268,735,19,1.27
"K6(8,4)",p5b+wide,11,20,90,0.5593,381,0.559,381,19,0.56
"K6(8,4)",p5+wide,20,20,90,1.7052,980,1.705,980,20,1.71
"K8(9,4)",p5+wide,5,10800,100,2.77,22,2.77,22,10765,2.77
"K6(6,3)",p5,12,30,45,1.5403,23762,1.54,23762,30,1.54
"K6(6,3)",p5+fix0,15,30,45,0.6645,9921,0.665,9921,30,0.66
"K6(6,3)",p5+wide,14,30,45,2.6368,39543,2.637,39543,30,2.64
"K8(9,4)",p5+wide,10,10800,100,2.9626,23,2.963,23,10791,2.96
"K8(9,4)",p5+wide,9,10800,100,2.743,22,2.743,22,10779,2.74
"K6(6,3)",p5b,1,30,45,0.7942,11246,0.794,11246,30,0.79
"K8(9,4)",p5+wide,3,10800,100,2.6767,22,2.677,22,10787,2.68
"K8(9,4)",p5b,3,10800,100,2.2459,31,2.246,31,10770,2.25
"K6(8,4)",p5,3,20,90,0.8926,526,0.893,526,19,0.89
"K8(9,4)",base,14,10800,100,22.4926,30,22.493,30,10797,22.49
"K6(6,3)",p5+ucache,5,30,45,1.579,21886,1.579,21886,30,1.58
"K6(8,4)",p5b,18,20,90,1.2613,878,1.261,878,20,1.26
"K6(6,3)",p5+ucache,6,30,45,0.183,2509,0.183,2509,28,0.18
"K8(9,4)",p5+wide,1,10800,100,2.7623,23,2.762,23,10778,2.76
"K8(9,4)",base,20,10800,100,20.9375,28,20.938,28,10773,20.94
"K6(8,4)",p5+upick,20,20,90,4.8406,2961,4.841,2961,20,4.84
"K6(6,3)",p5+fix0,13,30,45,1.714,25389,1.714,25389,29,1.71
"K6(6,3)",p5+ucache,7,30,45,0.1079,1428,0.108,1428,30,0.11
"K6(6,3)",p5+upick,10,30,45,-1.0,-1,45.0,543888,49,45.06
"K6(8,4)",p5b,14,20,90,0.5734,398,0.573,398,20,0.57
"K8(9,4)",p5,11,10800,100,3.3861,28,3.386,28,10794,3.39
"K6(6,3)",p5b,3,30,45,0.5662,7866,0.566,7866,30,0.57
"K6(6,3)",base,6,30,45,12.767,88228,12.767,88228,30,12.83
"K6(8,4)",p5b+wide,1,20,90,0.6055,420,0.606,420,20,0.61
"K8(9,4)",base,4,10800,100,20.5051,28,20.505,28,10791,20.51
"K6(6,3)",p5+wide,9,30,45,9.0963,140473,9.096,140473,30,9.1
"K8(9,4)",p5,10,10800,100,3.2687,28,3.269,28,10794,3.27
"K6(6,3)",base,17,30,45,0.9634,6721,0.963,6721,30,0.96
"K6(8,4)",p5+wide,1,20,90,0.7125,420,0.713,420,20,0.71
"K6(8,4)",p5b,12,20,90,0.6277,435,0.628,435,20,0.63
"K6(8,4)",p5b+wide,17,20,90,0.617,434,0.617,434,20,0.62
"K6(6,3)",p5,20,30,45,0.437,6125,0.437,6125,28,0.44
"K6(8,4)",p5+upick,6,20,90,1.275,794,1.275,794,20,1.28
"K6(8,4)",p5+wide,7,20,90,0.6967,422,0.697,422,20,0.7
"K6(6,3)",p5b+wide,16,30,45,2.8939,42429,2.894,42429,30,2.89
"K6(8,4)",p5b,2,20,90,0.9792,677,0.979,677,20,0.98
"K6(6,3)",p5+ucache,14,30,45,0.5819,8589,0.582,8589,28,0.58
"K6(6,3)",p5+fix0,20,30,45,3.4201,52234,3.42,52234,30,3.42
"K6(8,4)",p5b+wide,14,20,90,0.9618,667,0.962,667,20,0.96
"K6(8,4)",p5b+wide,20,20,90,1.3851,980,1.385,980,20,1.39
"K6(8,4)",p5,2,20,90,1.1406,677,1.141,677,20,1.14
"K6(6,3)",p5+fix0,10,30,45,2.4692,38996,2.469,38996,27,2.47
"K6(8,4)",p5,7,20,90,0.7571,450,0.757,450,20,0.76
"K6(6,3)",p5b,9,30,45,0.9646,14436,0.965,14436,30,0.96
"K6(8,4)",base,7,20,90,3.9075,450,3.908,450,20,3.91
"K6(6,3)",p5b,20,30,45,0.4495,6125,0.449,6125,28,0.45
"K6(8,4)",p5+fix0,10,20,90,1.0481,649,1.048,649,20,1.05
"K6(8,4)",base,19,20,90,8.1685,912,8.169,912,20,8.17
"K6(8,4)",p5+wide,11,20,90,0.6376,381,0.638,381,19,0.64
"K6(6,3)",p5+ucache,4,30,45,1.3377,18798,1.338,18798,29,1.34
"K6(8,4)",p5+ucache,9,20,90,1.5028,905,1.503,905,20,1.5
"K8(9,4)",base,12,10800,100,22.6823,30,22.682,30,10783,22.68
"K6(8,4)",p5b+wide,19,20,90,0.9209,653,0.921,653,20,0.92
"K6(8,4)",p5+fix0,9,20,90,1.197,716,1.197,716,19,1.2
"K6(8,4)",p5+wide,9,20,90,0.5159,311,0.516,311,20,0.52
"K8(9,4)",p5+wide,20,10800,100,2.8825,23,2.883,23,10798,2.88
"K6(8,4)",p5b,15,20,90,1.102,761,1.102,761,20,1.1
"K6(8,4)",p5+upick,14,20,90,6.8469,4257,6.847,4257,20,6.85
"K6(8,4)",p5+fix0,8,20,90,1.3732,824,1.373,824,20,1.37
"K6(8,4)",p5+upick,15,20,90,1.3042,807,1.304,807,20,1.3
"K6(8,4)",p5+fix0,5,20,90,0.6517,391,0.652,391,20,0.65
"K6(6,3)",p5+ucache,20,30,45,2.1669,30754,2.167,30754,30,2.17
"K6(8,4)",base,4,20,90,7.9127,866,7.913,866,20,7.91
"K8(9,4)",p5b+wide,19,10800,100,1.657,22,1.657,22,10798,1.66
"K8(9,4)",p5,19,10800,100,3.5013,30,3.501,30,10782,3.5
"K6(6,3)",p5,15,30,45,1.3048,19748,1.305,19748,29,1.3
"K6(8,4)",p5+wide,8,20,90,1.0245,624,1.024,624,20,1.02
"K6(8,4)",p5b,4,20,90,1.2304,866,1.23,866,20,1.23
"K6(8,4)",base,14,20,90,3.507,398,3.507,398,20,3.51
"K6(8,4)",base,2,20,90,5.8658,677,5.866,677,20,5.87
"K8(9,4)",p5+wide,11,10800,100,2.8165,23,2.816,23,10798,2.82
"K6(6,3)",p5+upick,20,30,45,-1.0,-1,45.001,543424,69,45.0
"K6(6,3)",p5b,16,30,45,0.0884,1105,0.088,1105,30,0.09
"K8(9,4)",base,18,10800,100,24.7996,31,24.8,31,10774,24.8
"K6(6,3)",p5+fix0,2,30,45,1.3368,19923,1.337,19923,30,1.34
"K6(6,3)",p5+ucache,11,30,45,2.7993,40470,2.799,40470,27,2.8
"K6(8,4)",p5+ucache,12,20,90,1.1634,712,1.163,712,20,1.16
"K6(6,3)",p5,4,30,45,0.2919,4143,0.292,4143,30,0.29
"K6(8,4)",p5b,7,20,90,0.6466,450,0.647,450,20,0.65
"K6(8,4)",base,5,20,90,5.4717,616,5.472,616,20,5.47
"K6(6,3)",p5b+wide,13,30,45,7.203,107655,7.203,107655,30,7.2
"K6(8,4)",p5+ucache,3,20,90,0.8559,518,0.856,518,19,0.86
"K8(9,4)",p5b,13,10800,100,2.146,29,2.146,29,10789,2.15
"K6(8,4)",p5b,9,20,90,1.0555,730,1.055,730,20,1.06
"K6(8,4)",p5,20,20,90,0.6335,381,0.634,381,20,0.63
"K6(8,4)",p5,13,20,90,1.1315,684,1.132,684,20,1.13
"K8(9,4)",p5,4,10800,100,3.3186,28,3.319,28,10791,3.32
"K6(8,4)",base,3,20,90,4.7075,526,4.707,526,19,4.71
"K6(8,4)",base,12,20,90,3.8121,435,3.812,435,20,3.81
"K6(6,3)",p5b,4,30,45,0.3028,4143,0.303,4143,30,0.3
"K6(8,4)",p5+fix0,2,20,90,1.3432,805,1.343,805,20,1.34
"K8(9,4)",p5b+wide,10,10800,100,1.6751,23,1.675,23,10791,1.68
"K6(6,3)",base,10,30,45,1.7513,12094,1.751,12094,29,1.75
"K6(8,4)",p5b+wide,7,20,90,0.6069,422,0.607,422,20,0.61
"K6(8,4)",p5+upick,11,20,90,1.8148,1056,1.815,1056,20,1.81
"K8(9,4)",p5+wide,15,10800,100,2.7473,23,2.747,23,10795,2.75
"K8(9,4)",p5+wide,19,10800,100,2.6663,22,2.666,22,10798,2.67
"K6(6,3)",p5,11,30,45,0.8039,11756,0.804,11756,26,0.8
"K6(6,3)",p5+fix0,19,30,45,2.8594,44305,2.859,44305,30,2.86
"K6(6,3)",p5+upick,19,30,45,-1.0,-1,45.001,539072,62,45.0
"K8(9,4)",base,11,10800,100,21.4974,28,21.497,28,10794,21.5
"K6(6,3)",p5b+wide,15,30,45,3.0962,44351,3.096,44351,30,3.1
"K6(6,3)",p5+ucache,9,30,45,0.5978,8563,0.598,8563,29,0.6
"K6(6,3)",p5,18,30,45,0.5021,7103,0.502,7103,29,0.5
"K6(8,4)",p5+wide,15,20,90,1.5287,925,1.529,925,20,1.53
"K6(8,4)",p5+fix0,6,20,90,1.0875,669,1.088,669,20,1.09
"K8(9,4)",p5b,6,10800,100,2.2326,31,2.233,31,10782,2.23
"K6(8,4)",p5+upick,17,20,90,4.0157,2460,4.016,2460,20,4.02
"K6(8,4)",p5b,20,20,90,0.5374,381,0.537,381,20,0.54
"K6(8,4)",p5+fix0,4,20,90,1.0851,671,1.085,671,20,1.09
"K6(6,3)",p5+ucache,18,30,45,5.6398,82323,5.64,82323,30,5.64
"K6(6,3)",p5b,6,30,45,5.9974,88228,5.997,88228,30,6.0
