cell,variant,seed,target,budget,ttt_cpu,ttt_it,cpu,iters,best,wall
"K6(8,4)",p5,4,20,90,1.5096,866,1.51,866,20,1.51
"K6(6,3)",p5+ucache,6,10,45,9.2443,142296,9.244,142296,10,9.24
"K6(6,3)",p5,16,10,45,6.179,105752,6.179,105752,10,6.18
"K6(6,3)",base,7,10,45,1.4592,10225,1.459,10225,9,1.46
"K6(8,4)",p5+upick,17,20,90,4.2918,2460,4.292,2460,20,4.29
"K6(6,3)",p5+fix0,13,10,45,2.1526,32227,2.153,32227,10,2.15
"K6(6,3)",base,14,10,45,1.3167,9227,1.317,9227,10,1.32
"K8(9,4)",p5,10,10800,100,3.9608,28,3.961,28,10794,3.96
"K6(8,4)",p5+wide,14,20,90,1.2169,667,1.217,667,20,1.22
"K6(6,3)",p5+fix0,17,10,45,-1.0,-1,45.001,767520,14,45.0
"K6(6,3)",p5+upick,5,10,45,-1.0,-1,45.0,549488,56,45.0
"K6(6,3)",p5+upick,9,10,45,-1.0,-1,45.0,540304,44,45.0
"K6(8,4)",p5+fix0,3,20,90,2.1301,1175,2.13,1175,20,2.13
"K6(8,4)",p5+wide,15,20,90,1.6639,925,1.664,925,20,1.66
"K6(8,4)",p5+wide,13,20,90,0.681,377,0.681,377,19,0.68
"K6(6,3)",base,18,10,45,1.1478,8104,1.148,8104,10,1.15
"K8(9,4)",p5,15,10800,100,4.5075,33,4.507,33,10778,4.51
"K8(9,4)",p5+wide,17,10800,100,2.7781,21,2.778,21,10798,2.78
"K6(8,4)",p5+wide,9,20,90,0.5675,311,0.567,311,20,0.57
"K6(8,4)",p5+ucache,9,20,90,1.6235,905,1.623,905,20,1.62
"K6(6,3)",p5+ucache,8,10,45,6.4546,100703,6.455,100703,10,6.45
"K6(8,4)",p5+fix0,18,20,90,1.2055,680,1.205,680,20,1.21
"K6(8,4)",p5+ucache,3,20,90,0.8893,518,0.889,518,19,0.89
"K6(8,4)",p5+ucache,14,20,90,0.6005,354,0.6,354,19,0.6
"K6(6,3)",p5+upick,8,10,45,-1.0,-1,45.0,548304,63,45.0
"K8(9,4)",p5+wide,1,10800,100,2.96,23,2.96,23,10778,2.96
"K6(6,3)",p5+fix0,5,10,45,-1.0,-1,45.0,761184,16,45.0
"K6(6,3)",p5+fix0,2,10,45,5.8065,93535,5.807,93535,10,5.81
"K6(8,4)",p5+wide,19,20,90,1.1186,653,1.119,653,20,1.12
"K6(8,4)",p5+ucache,20,20,90,1.5337,917,1.534,917,20,1.53
"K8(9,4)",p5,6,10800,100,4.1779,31,4.178,31,10782,4.18
"K6(8,4)",p5+wide,7,20,90,0.721,422,0.721,422,20,0.72
"K6(8,4)",base,16,20,90,6.034,675,6.034,675,20,6.03
"K6(8,4)",p5,3,20,90,0.9063,526,0.906,526,19,0.91
"K6(6,3)",p5,7,10,45,0.6705,10225,0.671,10225,9,0.67
"K6(8,4)",p5+fix0,16,20,90,0.6042,351,0.604,351,20,0.6
"K8(9,4)",p5+wide,6,10800,100,2.9265,23,2.926,23,10771,2.93
"K6(6,3)",p5+fix0,16,10,45,-1.0,-1,45.0,785184,15,45.0
"K6(6,3)",p5+upick,18,10,45,-1.0,-1,45.0,546176,37,45.0
"K6(6,3)",p5+wide,11,10,45,36.533,567747,36.533,567747,10,36.53
"K6(8,4)",p5+upick,14,20,90,7.2403,4257,7.24,4257,20,7.24
"K6(6,3)",p5+upick,20,10,45,-1.0,-1,45.001,537088,69,45.0
"K6(6,3)",p5+fix0,8,10,45,-1.0,-1,45.0,735664,14,45.0
"K6(6,3)",base,20,10,45,3.2219,22558,3.222,22558,9,3.22
"K8(9,4)",base,12,10800,100,22.0067,30,22.007,30,10783,22.01
"K6(6,3)",p5+wide,10,10,45,-1.0,-1,45.0,740400,14,45.0
"K6(8,4)",base,6,20,90,3.2406,364,3.241,364,20,3.24
"K6(6,3)",p5+ucache,17,10,45,4.1515,61965,4.152,61965,10,4.15
"K6(6,3)",base,5,10,45,-1.0,-1,45.002,312592,16,45.0
"K8(9,4)",p5+wide,14,10800,100,3.0796,23,3.08,23,10788,3.08
"K6(6,3)",p5,4,10,45,-1.0,-1,45.001,732192,14,45.0
"K6(8,4)",p5+fix0,12,20,90,1.1702,687,1.17,687,20,1.17
"K8(9,4)",p5+wide,7,10800,100,3.0372,24,3.037,24,10762,3.04
"K6(8,4)",base,18,20,90,8.1616,878,8.162,878,20,8.16
"K8(9,4)",base,6,10800,100,23.9914,31,23.991,31,10782,23.99
"K6(8,4)",p5+fix0,10,20,90,1.1202,649,1.12,649,20,1.12
"K6(6,3)",p5+wide,17,10,45,-1.0,-1,45.0,714272,14,45.0
"K6(6,3)",base,4,10,45,-1.0,-1,45.002,315840,24,45.0
"K6(8,4)",p5+wide,16,20,90,1.6195,931,1.619,931,20,1.62
"K6(6,3)",p5+wide,18,10,45,-1.0,-1,45.0,706000,16,45.0
"K6(6,3)",p5+wide,2,10,45,21.9964,342212,21.996,342212,10,22.0
"K6(6,3)",base,6,10,45,29.5767,204798,29.577,204798,10,29.58
