variant,cell,seed,rep,cpu,iters,uncovered,wall
p5b 2-bit+shared,"K8(9,4)",1,1,4.001,50,10345,4.0
p4 +uncov. list,"K6(6,3)",1,2,1.324,20000,26,1.32
p4 +uncov. list,"K6(6,3)",2,0,1.283,20000,24,1.28
p5b 2-bit+shared,"K6(8,4)",3,0,0.88,600,19,0.88
p4 +uncov. list,"K6(8,4)",2,1,1.019,600,21,1.02
p5+prefetch,"K8(9,4)",3,1,6.028,50,10275,6.03
p3 +shared sphere,"K6(8,4)",1,2,2.898,600,25,2.9
p5 +hugepages,"K8(9,4)",1,1,5.943,50,10345,5.94
p5 +hugepages,"K6(8,4)",3,2,1.043,600,19,1.04
p2b 2-bit state,"K6(8,4)",3,1,4.198,600,19,4.2
